station_id,latitude,longitude,num_chargers,charger_speed,coverage
309163.0,35.98712411066941,-119.96286721735132,1,200.0,134907.4928423303
311288.0,40.45715368712365,-74.39459608300285,1,240.0,139494.1635130759
311413.0,27.791037815307646,-82.34189562495864,1,150.0,132768.78781821378
311247.0,47.38668102427937,-122.18607816241465,3,150.0,155897.18436978976
311563.0,27.99688201987439,-82.55060219034677,2,150.0,131325.70890768597
309142.0,29.32564972113903,-96.12266805136898,1,400.0,120502.94924566054
311565.0,28.04077444575792,-82.50851136424468,1,150.0,131240.98790613838
311568.0,27.961213073149523,-82.7671794973801,1,150.0,131054.11775802719
309467.0,42.20136278433358,-71.18890390926208,2,180.0,153938.37975233587
311325.0,48.18762603076519,-122.19930614977596,1,200.0,158408.95662413703
311293.0,42.303934337288695,-74.27238198055977,2,7.2,141828.48126710803
309378.0,34.902852224750134,-79.71125827333924,1,150.0,120739.0388910708
309072.0,44.28445990895344,-73.98751574892695,1,200.0,146849.77333800134
311312.0,46.64174330922404,-122.9504899920414,3,240.0,156141.0525657308
311232.0,33.07665945170558,-116.59711187722712,1,62.0,133478.16881584737
309468.0,42.18335682126252,-71.18777428626686,1,240.0,153923.97405962713
311579.0,33.47922772277374,-111.98561491929566,1,350.0,124541.05645858982
311508.0,37.76891999999784,-122.4196599999998,5,320.0,141743.68098106244
309164.0,34.82380112806031,-118.87842964217847,1,200.0,133772.367907507
309470.0,34.69911412220576,-79.8821816984971,2,150.0,120410.08911078013
309051.0,37.55283996698718,-121.9790903232084,1,350.0,140009.24163625005
311229.0,43.5392919274984,-123.28792976328268,2,350.0,150674.9901869546
311417.0,39.91532375933673,-86.11032892406269,1,350.0,109778.24407039935
309078.0,38.78429739017122,-121.28397801736388,1,19.2,137372.8549934522
311230.0,41.02832207997864,-77.52166789687607,1,350.0,129300.09872502924
311418.0,37.288538528018606,-121.78112113586168,1,350.0,139455.20362234797
309162.0,37.10459785786704,-121.01520227620512,1,200.0,136877.84562997328
311564.0,27.99542530796888,-82.48351328486353,1,150.0,131488.35991516965
311403.0,33.93041471138152,-81.07722241752805,1,350.0,118023.14685818354
311581.0,30.18393867398157,-81.62541156086436,1,350.0,125969.86519146776
311574.0,37.18401357570761,-77.3180918831336,1,350.0,127930.83154873857
311567.0,28.066317970134264,-82.73950409041777,1,150.0,130664.48396590014
311377.0,34.42513946425062,-119.70576370458453,1,350.0,137429.60104695254
311587.0,42.18464893920972,-83.74172601109308,1,60.0,116433.54885928424
309177.0,38.59746087005309,-121.42196824300696,1,350.0,137739.38265900713
309178.0,38.49642636262331,-121.43159284547671,1,325.0,137742.07948126984
309170.0,39.32635900000025,-101.72670699999992,1,400.0,109795.65826166363
309077.0,38.78404882954598,-121.2819677202544,1,19.2,137366.0568901271
309088.0,32.09036761630553,-84.6667086218339,1,62.5,115042.42393276149
309166.0,34.495881662744,-118.62590990468692,1,200.0,133968.85606398372
311228.0,35.53098583638754,-119.18807039329766,1,350.0,133270.2150399253
309376.0,33.87412619887124,-79.7552998100505,1,150.0,122048.81457844276
311233.0,34.17519270988271,-82.02255955794413,1,150.0,115412.58049083313
309379.0,34.13853417668945,-82.13121362784486,1,150.0,115237.83218312939
309075.0,42.43093986125078,-83.4242923586132,1,60.0,117541.37356314895
311402.0,35.57189742519469,-82.95587489466722,1,350.0,112620.72703853154
309167.0,35.34016706276604,-118.84278367046278,1,200.0,132647.00079711262
311613.0,41.41619830139183,-84.10499089014816,1,350.0,114377.55216209513
311400.0,30.559759429331464,-88.20561126664307,1,350.0,116485.63451628957
311415.0,45.23396638672571,-122.8104363663728,1,350.0,152343.90555497014
309165.0,34.818293627961324,-118.88226842347608,1,200.0,133796.01000963105
311577.0,35.4808394197364,-108.433538293779,1,350.0,116754.80090174262
309471.0,35.45786596731854,-79.15142571674193,1,150.0,122165.63865067477
309168.0,34.992387083464536,-117.54076618034144,1,200.0,130411.03503342968
309100.0,32.2824029999976,-83.46476299999767,2,62.0,116242.76584146252
311235.0,42.35764521282542,-88.06840312134125,2,150.0,111929.90501441938
309482.0,36.83921292277964,-121.39554278998855,1,350.0,138532.71382368158
309472.0,37.98977960021405,-121.69756073685744,1,180.0,138713.82982943353
311276.0,32.79321951069673,-97.05808559989504,1,400.0,111925.51249392533
311289.0,42.62486305041975,-73.70265286385518,1,240.0,144412.09764501476
311226.0,42.35992563926351,-88.00052452011288,1,150.0,111978.96797180056
311569.0,31.925446860260507,-81.3331418951143,1,400.0,121663.60664919352
